Probability,Solvable,Runtime,Path Length (Repeated A*,Path Length (Discovered),Path Length (Complete),Number of Cells Processed,Runtime Weight (EC),Backtrack Steps (EC)
0.0,true,-1,440.0,-1.0,-1.0,9771,1.0,0.0
0.0,true,-1,424.0,-1.0,-1.0,9637,1.0,0.0
0.0,true,-1,414.0,-1.0,-1.0,12981,1.0,0.0
0.0,true,-1,404.0,-1.0,-1.0,8993,1.0,0.0
0.0,true,-1,282.0,-1.0,-1.0,7301,1.0,0.0
0.0,true,-1,376.0,-1.0,-1.0,8185,1.0,0.0
0.0,true,-1,410.0,-1.0,-1.0,8146,1.0,0.0
0.0,true,-1,350.0,-1.0,-1.0,10307,1.0,0.0
0.0,true,-1,312.0,-1.0,-1.0,6975,1.0,0.0
0.0,true,-1,514.0,-1.0,-1.0,11666,1.0,0.0
0.0,true,-1,370.0,-1.0,-1.0,10736,1.0,0.0
0.0,true,-1,404.0,-1.0,-1.0,9728,1.0,0.0
0.0,true,-1,272.0,-1.0,-1.0,6426,1.0,0.0
0.0,true,-1,428.0,-1.0,-1.0,11236,1.0,0.0
0.0,true,-1,398.0,-1.0,-1.0,9671,1.0,0.0
0.0,true,-1,414.0,-1.0,-1.0,14271,1.0,0.0
0.0,true,-1,360.0,-1.0,-1.0,8870,1.0,0.0
0.0,true,-1,318.0,-1.0,-1.0,8360,1.0,0.0
0.0,true,-1,328.0,-1.0,-1.0,8825,1.0,0.0
0.0,true,-1,306.0,-1.0,-1.0,7473,1.0,0.0
0.0,true,-1,332.0,-1.0,-1.0,7231,1.0,0.0
0.0,true,-1,352.0,-1.0,-1.0,8597,1.0,0.0
0.0,true,-1,314.0,-1.0,-1.0,7664,1.0,0.0
0.0,true,-1,330.0,-1.0,-1.0,7813,1.0,0.0
0.0,true,-1,376.0,-1.0,-1.0,10017,1.0,0.0
0.0,true,-1,406.0,-1.0,-1.0,10210,1.0,0.0
0.0,true,-1,416.0,-1.0,-1.0,12154,1.0,0.0
0.0,true,-1,306.0,-1.0,-1.0,8588,1.0,0.0
0.0,true,-1,448.0,-1.0,-1.0,12547,1.0,0.0
0.0,true,-1,304.0,-1.0,-1.0,7288,1.0,0.0
0.0,true,-1,354.0,-1.0,-1.0,9033,1.0,0.0
0.0,true,-1,452.0,-1.0,-1.0,9547,1.0,0.0
0.0,true,-1,368.0,-1.0,-1.0,9846,1.0,0.0
0.0,true,-1,412.0,-1.0,-1.0,10418,1.0,0.0
0.0,true,-1,304.0,-1.0,-1.0,6910,1.0,0.0
0.0,true,-1,332.0,-1.0,-1.0,7726,1.0,0.0
0.0,true,-1,384.0,-1.0,-1.0,8585,1.0,0.0
0.0,true,-1,410.0,-1.0,-1.0,10343,1.0,0.0
0.0,true,-1,338.0,-1.0,-1.0,8964,1.0,0.0
0.0,true,-1,404.0,-1.0,-1.0,11613,1.0,0.0
0.0,true,-1,358.0,-1.0,-1.0,9731,1.0,0.0
0.0,true,-1,430.0,-1.0,-1.0,11335,1.0,0.0
0.0,true,-1,342.0,-1.0,-1.0,8361,1.0,0.0
0.0,true,-1,392.0,-1.0,-1.0,9683,1.0,0.0
0.0,true,-1,334.0,-1.0,-1.0,8216,1.0,0.0
0.0,true,-1,402.0,-1.0,-1.0,8394,1.0,0.0
0.0,true,-1,296.0,-1.0,-1.0,8317,1.0,0.0
0.0,true,-1,460.0,-1.0,-1.0,8489,1.0,0.0
0.0,true,-1,296.0,-1.0,-1.0,6964,1.0,0.0
0.0,true,-1,388.0,-1.0,-1.0,9344,1.0,0.0
0.0,true,-1,374.0,-1.0,-1.0,9281,1.0,0.0
0.0,true,-1,374.0,-1.0,-1.0,9150,1.0,0.0
0.0,true,-1,360.0,-1.0,-1.0,8575,1.0,0.0
0.0,true,-1,454.0,-1.0,-1.0,13741,1.0,0.0
0.0,true,-1,438.0,-1.0,-1.0,11534,1.0,0.0
0.0,true,-1,372.0,-1.0,-1.0,11583,1.0,0.0
0.0,true,-1,376.0,-1.0,-1.0,10213,1.0,0.0
0.0,true,-1,458.0,-1.0,-1.0,11801,1.0,0.0
0.0,true,-1,360.0,-1.0,-1.0,7368,1.0,0.0
0.0,true,-1,260.0,-1.0,-1.0,7471,1.0,0.0
0.0,true,-1,392.0,-1.0,-1.0,8409,1.0,0.0
0.0,true,-1,300.0,-1.0,-1.0,9223,1.0,0.0
0.0,true,-1,500.0,-1.0,-1.0,14029,1.0,0.0
0.0,true,-1,424.0,-1.0,-1.0,10464,1.0,0.0
0.0,true,-1,344.0,-1.0,-1.0,10088,1.0,0.0
0.0,true,-1,332.0,-1.0,-1.0,9113,1.0,0.0
0.0,true,-1,358.0,-1.0,-1.0,9323,1.0,0.0
